PROCESS1,5,0,288,0,94,0
PROCESS2,3,0,122,0,32,1
PROCESS3,4,0,235,0,147,1
PROCESS4,7,2,300,0,172,1
PROCESS5,6,0,294,0,102,0
PROCESS6,9,2,430,3,177,0
PROCESS7,14,6,670,0,408,0
PROCESS8,18,9,968,52,642,0
PROCESS9,18,8,1215,55,875,0
PROCESS10,8,5,957,0,839,0
PROCESS11,6,2,979,507,819,0
PROCESS12,11,6,1206,0,1035,0
PROCESS13,11,5,1144,540,1008,0
PROCESS14,9,2,1382,599,1158,0
PROCESS15,12,4,1208,641,948,0
PROCESS16,14,5,1602,886,1277,0
PROCESS17,17,7,1850,975,1507,0
PROCESS18,10,7,1803,1197,1671,0
PROCESS19,8,4,1706,1027,1534,0
PROCESS20,7,2,1656,1270,1514,0
PROCESS21,8,2,1913,1478,1769,0
PROCESS22,9,2,1966,1473,1772,0
PROCESS23,10,2,2152,1631,1965,0
PROCESS24,13,4,2479,1722,2197,0
PROCESS25,15,5,2371,1684,2134,0
